unmasked_text,masked_text,account_number,account_number_regex
"For those who will be traveling for the upcoming project meeting, your travel expenses should be charged to our company account. Please use account number 40387740, associated with our Checking Account.","For those who will be traveling for the upcoming project meeting, your travel expenses should be charged to our company account. Please use account number [ACCOUNTNUMBER_1], associated with our [ACCOUNTNAME_1].",40387740,True
"Dear Olson, remember to take time for self-care and practice the coping techniques we discussed. Also note that payment for our sessions can be made to the account named Money Market Account with account number: 57682814.","Dear [LASTNAME_1], remember to take time for self-care and practice the coping techniques we discussed. Also note that payment for our sessions can be made to the account named [ACCOUNTNAME_1] with account number: [ACCOUNTNUMBER_1].",57682814,True
"I'd like to invest in your start-up. I'll be transferring funds from my account, 44911291. The kr967985 will arrive within 2 business days.","I'd like to invest in your start-up. I'll be transferring funds from my account, [ACCOUNTNUMBER_1]. The [CURRENCYSYMBOL_1][AMOUNT_1] will arrive within 2 business days.",44911291,True
The file attached contains our recent transactions from our Business Account 23148157. Please take note of the bank certificate and the remaining balance of Kč775749.06.,The file attached contains our recent transactions from our Business Account [ACCOUNTNUMBER_1]. Please take note of the bank certificate and the remaining balance of [CURRENCYSYMBOL_1][AMOUNT_1].,23148157,True
"The psychometric test scores are in. To access yours , login to your account on our website using the account number 17342665 and password ySCtGSyw85pR.","The psychometric test scores are in. To access yours , login to your account on our website using the account number [ACCOUNTNUMBER_1] and password [PASSWORD_1].",17342665,True
"Hello Lamar, The details for upcoming peer tutoring session in accountancy are updated. For any transaction related queries, contact the school account department with 40579250.","Hello [FIRSTNAME_1], The details for upcoming peer tutoring session in accountancy are updated. For any transaction related queries, contact the school account department with [ACCOUNTNUMBER_1].",40579250,True
Prohaska and Sons is under investigation. We have received a document withdrawal of $0.40m from the account number 66099613 performed by Retha Robin Volkman. They officially work there as a Forward Configuration Officer.,[COMPANYNAME_1] is under investigation. We have received a document withdrawal of [CURRENCYSYMBOL_1][AMOUNT_1] from the account number [ACCOUNTNUMBER_1] performed by [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1]. They officially work there as a [JOBTITLE_1].,66099613,True
Review our Bitcoin payment system for the Auto Loan account 21824129. Address detected issues to our Direct Research Agent: Mr.Angel using bebe:e7ea:31ea:b3fa:a762:4cfd:8dfb:ecd2.,Review our Bitcoin payment system for the Auto Loan account [ACCOUNTNUMBER_1]. Address detected issues to our [JOBTITLE_1]: [PREFIX_1][MIDDLENAME_1] using [IP_1].,21824129,True
"Announcement: Tristin58, your application to geriatrics research board has been approved. Refer to 04636947 for more information.","Announcement: [USERNAME_1], your application to geriatrics research board has been approved. Refer to [ACCOUNTNUMBER_1] for more information.",4636947,False
The next-gen medical device for 65 individuals is in production. We need testers. Please quote your 13179842 for eligibility.,The next-gen medical device for [AGE_1] individuals is in production. We need testers. Please quote your [ACCOUNTNUMBER_1] for eligibility.,13179842,False
"I, Aimee Thompson, would like to access the Educational Funds. Account Name: Auto Loan Account, Account Number: 03885110. Requested Amount: лв714k. You can reach me back at Sheldon_Oberbrunner62@hotmail.com or call me on 0650 43225028.","I, [FIRSTNAME_1] [LASTNAME_1], would like to access the Educational Funds. Account Name: [ACCOUNTNAME_1], Account Number: [ACCOUNTNUMBER_1]. Requested Amount: [CURRENCYSYMBOL_1][AMOUNT_1]. You can reach me back at [EMAIL_1] or call me on [PHONENUMBER_1].",3885110,True
Please use the Investment Account and 28352378 to pay for any software or services required during this analysis.,Please use the [ACCOUNTNAME_1] and [ACCOUNTNUMBER_1] to pay for any software or services required during this analysis.,28352378,True
"Alert, Your Distance Learning account settings have been altered from device with MAC address e6:04:26:ee:f0:28. If this wasn't you, then your account may be compromised. Contact us immediately. Refer by account number 87925950.","Alert, Your Distance Learning account settings have been altered from device with MAC address [MAC_1]. If this wasn't you, then your account may be compromised. Contact us immediately. Refer by account number [ACCOUNTNUMBER_1].",87925950,True
"Remember the new password dDfmB8xRogt1 to access the oncology department's portal. Further, Parker, our new Global Implementation Analyst will join us on 06/07/1903. Any payment can be made using 55776151.","Remember the new password [PASSWORD_1] to access the oncology department's portal. Further, [MIDDLENAME_1], our new [JOBTITLE_1] will join us on [DOB_1]. Any payment can be made using [ACCOUNTNUMBER_1].",55776151,False
"We would like to inform you that your real estate property at Harrison Avenue, 148 in Cornwall has been legally recognized under the account 77902637.","We would like to inform you that your real estate property at [STREET_1], [BUILDINGNUMBER_1] in [COUNTY_1] has been legally recognized under the account [ACCOUNTNUMBER_1].",77902637,True
"In association with Considine, Predovic and Gerhold, we are providing vaccination for Transexual man, who are 48 or above. Provide your Account Number 79219833 for verification during payment.","In association with [COMPANYNAME_1], we are providing vaccination for [GENDER_1], who are [AGE_1] or above. Provide your Account Number [ACCOUNTNUMBER_1] for verification during payment.",79219833,True
"Dear Male, Please arrive at the building 6448 which is located at Torphy Court in Kingbury for your scheduled occupational therapy appointment. Don't forget to bring your 53082380 for billing purposes.","Dear [SEX_1], Please arrive at the building [BUILDINGNUMBER_1] which is located at [STREET_1] in [CITY_1] for your scheduled occupational therapy appointment. Don't forget to bring your [ACCOUNTNUMBER_1] for billing purposes.",53082380,False
