,Unnamed: 0,unmasked_text,masked_text,phone_number,target,manual target,zero if wrong,false positives,false negatives
448,448,Got some exciting findings for individuals with Eye color: Hazel. Let's set up a time to discuss this. You can reach me at 05196 04711.,Got some exciting findings for individuals with [EYECOLOR_1]. Let's set up a time to discuss this. You can reach me at [PHONENUMBER_1].,05196 04711,TEL,TEL,1,,
449,449,"Name Simonis, your cognitive therapy session is confirmed for 1998-08-20T08:06:10.004Z at 23:52. This will be held at 4234, E Elm Street, North Jaceyside Illinois 09743-2878. You are due a session fee of ???0.0b. For queries, reach us at Willy7@gmail.com or 1063 690.6267.","[FIRSTNAME_1] [LASTNAME_1], your cognitive therapy session is confirmed for [DATE_1] at [TIME_1]. This will be held at [BUILDINGNUMBER_1], [STREET_1], [CITY_1] [STATE_1] [ZIPCODE_1]. You are due a session fee of [CURRENCYSYMBOL_1][AMOUNT_1]. For queries, reach us at [EMAIL_1] or [PHONENUMBER_1].",1063 690.6267,O,TEL,zero,,
450,450,Medical intervention and occupational therapy can help Accountability workers significantly. For appointments call us at +40-724-062 4764.,Medical intervention and occupational therapy can help [JOBAREA_1] workers significantly. For appointments call us at [PHONENUMBER_1].,+40-724-062 4764,O,TEL,zero,,
451,451,"Looking for a therapy session before 6 AM. Living in Surrey, need help with payment options. Contact at 03816-26306.","Looking for a therapy session before [TIME_1]. Living in [COUNTY_1], need help with payment options. Contact at [PHONENUMBER_1].",03816-26306,O,O,1,,
452,452,"Emergency meeting announced for Accounts associates. Kyle will share the meeting link. Ensure you've updated your Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/4.0; .NET CLR 3.8.34277.3) for best experience. Reach out via +94.476-548.6102, if any issues.","Emergency meeting announced for [JOBAREA_1] associates. [MIDDLENAME_1] will share the meeting link. Ensure you've updated your [USERAGENT_1] for best experience. Reach out via [PHONENUMBER_1], if any issues.",-454.1342,O,O,1,,
453,453,I am writing in regards to the advertised internship program at (COMPANYNAME_1). My name is Bert Nico and I am really interested in participating. Feel free to contact me on George_Kautzer-Roob36@yahoo.com or (04)-5791 4419.,I am writing in regards to the advertised internship program at (COMPANYNAME_1). My name is [FIRSTNAME_1] [MIDDLENAME_1] and I am really interested in participating. Feel free to contact me on [EMAIL_1] or [PHONENUMBER_1].,(04)-5791 4419,TEL,O,zero,,
454,454,Legal notice from Anahi8 claiming breach of contract received today. Please review facts on case. Reply to this Miller.White@hotmail.com or contact our office at 003.765 1989 for an urgent meeting.,Legal notice from [USERNAME_1] claiming breach of contract received today. Please review facts on case. Reply to this [EMAIL_1] or contact our office at [PHONENUMBER_1] for an urgent meeting.,003.765 1989,O,TEL,zero,,
455,455,"To the attention of Candace Paucek, based on the it results it has been determined that an additional intervention may be needed. Please call this dedicated number: 05268 919351 for support.","To the attention of [FIRSTNAME_1] [LASTNAME_1], based on the it results it has been determined that an additional intervention may be needed. Please call this dedicated number: [PHONENUMBER_1] for support.",05268 919351,O,O,,,
456,456,Shipment of medical N4jxl1ympwgZ device delayed. Contact customer service at (737) 0128122 for resolution.,Shipment of medical [PASSWORD_1] device delayed. Contact customer service at [PHONENUMBER_1] for resolution.,(737) 0128122,O,O,,,
457,457,Time management isn't just for your International Applications Executive role. Apply these skills to all aspects of life. Your student affairs rep (+77-014 602.3347) can provide more resources.,Time management isn't just for your [JOBTITLE_1] role. Apply these skills to all aspects of life. Your student affairs rep ([PHONENUMBER_1]) can provide more resources.,+77-014 602.3347,O,,,,
458,458,"Hi Keyon Bode, reconfirmation of your upcoming Cognitive Therapy at 88331, W 2nd Street, Rooseveltberg on 02/10/1919 at 08:20. Let us know if there are changes. The total cost will be $773880.53. You can reach us at +241 54-875.4885 or Edwin.Weimann@gmail.com.","Hi [FIRSTNAME_1] [LASTNAME_1], reconfirmation of your upcoming Cognitive Therapy at [BUILDINGNUMBER_1], [STREET_1], [CITY_1] on [DATE_1] at [TIME_1]. Let us know if there are changes. The total cost will be [CURRENCYSYMBOL_1][AMOUNT_1]. You can reach us at [PHONENUMBER_1] or [EMAIL_1].",+241 54-875.4885,O,,,,
459,459,"Wintheiser, during the visit, use the coordinates [6.3689,61.7662] for parking. For additional help, call us at +18-723.665-2751.","[LASTNAME_1], during the visit, use the coordinates [NEARBYGPSCOORDINATE_1] for parking. For additional help, call us at [PHONENUMBER_1].",-3456.665,O,,,,
460,460,Our operations in Kutchfurt are encountering some issues. Please reach out to 09610.57813 for details.,Our operations in [CITY_1] are encountering some issues. Please reach out to [PHONENUMBER_1] for details.,09610.57813,O,,,,
461,461,"Hello Mr. Cole, thank you for considering this addiction treatment program. Our specialist, call her at +53 86.524.4930, has been in Factors for years. We are located at 6466 Grange Close, Fort Easter, Pennsylvania, 08184-4471, Herefordshire. Please keep your Investment Account (48562344) ready for transactions.","Hello [PREFIX_1] [LASTNAME_1], thank you for considering this addiction treatment program. Our specialist, call her at [PHONENUMBER_1], has been in [JOBAREA_1] for years. We are located at [BUILDINGNUMBER_1] [STREET_1], [CITY_1], [STATE_1], [ZIPCODE_1], [COUNTY_1]. Please keep your [ACCOUNTNAME_1] ([ACCOUNTNUMBER_1]) ready for transactions.",+53 86.524.4930,O,,,,
462,462,"Mrs. Demond, Reminder: Your scheduled appointment with sports law specialist Ariane Littel starts at 05:45 on 2/22. Bring your identification i.e., 848 72 6799. Please contact us at 0784 75898002 if you need to change the schedule.","[PREFIX_1] [FIRSTNAME_1], Reminder: Your scheduled appointment with sports law specialist [FIRSTNAME_2] [LASTNAME_1] starts at [TIME_1] on [DATE_1]. Bring your identification i.e., [SSN_1]. Please contact us at [PHONENUMBER_1] if you need to change the schedule.",0784 75898002,O,,,,
