unmasked_text,masked_text,edit log
"Rosemary.King27, do you think your experience as a Solutions specialist would contribute to our work in psycho-oncology? We're reachable at https://evergreen-hug.info and 099 337-6244.","[USERNAME_1], do you think your experience as a [JOBAREA_1] specialist would contribute to our work in [MEDICAL_1]? We're reachable at [URL_1] and [PHONENUMBER_1].",added medical
"Hello, as Direct Security Assistant in Saxony, you are invited to attend a workshop on Transformational Leadership in Education, scheduled to take place at the main Conference Hall at Apt. 318. Please confirm attendance to 046.1458029.","Hello, as [JOBTITLE_1] in [STATE_1], you are invited to attend a workshop on Transformational Leadership in Education, scheduled to take place at the main Conference Hall at [BUILDINGNUMBER_1]. Please confirm attendance to [PHONENUMBER_1].",
"Safety incident reported on Funk Expressway at 12:35, please redirect all communications to 02348 32889. Personal Loan Account has been alerted.","Safety incident reported on [STREET_1] at [TIME_1], please redirect all communications to [PHONENUMBER_1]. [ACCOUNTNAME_1] has been alerted.",
We offer telemedicine to 24408-7904 residents. Contact us on (840).7826633 for more information.,We offer telemedicine to [ZIPCODE_1] residents. Contact us on [PHONENUMBER_1] for more information.,
"Dermatology Clinic Confirmation: Name - Austin, Date - 1953-03-07T06:11:38.984Z, Time - 10:00 AM. If you need help, reach us on 08112.980430.","[ORGANIZATION_1] Confirmation: Name - [FIRSTNAME_1], Date - [DATE_1], Time - 10:00 AM. If you need help, reach us on [PHONENUMBER_1].","added org, and changed middlename to first name"
We are conducting a study in Accounts to understand the nutritional intake of school children. For further information please contact the Consultant of our team on this mobile number (12).2475 9317.,We are conducting a study in [JOBAREA_1] to understand the nutritional intake of school children. For further information please contact the [JOBTITLE_1] of our team on this mobile number [PHONENUMBER_1].,changed job type to job title
"Dear Adolf, we have recently upgraded our diagnostic software which detected a login from an unfamiliar IP: 97.52.3.104. If unfamiliar, contact us at +130-962.105-8079.","Dear [FIRSTNAME_1], we have recently upgraded our diagnostic software which detected a login from an unfamiliar IP: [IPV4_1]. If unfamiliar, contact us at [PHONENUMBER_1].",
"Dr. Nelda, your advice on Anastacioville market landscape can be pivotal. Call us on (54).9364-3209 or +43-907.845.7016.","[PREFIX_1] [LASTNAME_1], your advice on [CITY_1] market landscape can be pivotal. Call us on [PHONENUMBER_1] or [PHONENUMBER_1].","changed first name to last name, changed phno 2 to phno1"
"Our annual visit to the Abruzzo museum is just around the corner. Get your child ready to learn about history and art! For any doubts or queries, you can contact us on the following number: 016-5409.4590.","Our annual visit to the [STATE_1] museum is just around the corner. Get your child ready to learn about history and art! For any doubts or queries, you can contact us on the following number: [PHONENUMBER_1].",
"Literacy program starts on 23/03/1935. Event details sent to your email, Brionna_Kirlin77@gmail.com. For queries, contact 02-75.74-09-41.","Literacy program starts on [DATE_1]. Event details sent to your email, [EMAIL_1]. For queries, contact [PHONENUMBER_1].",
"Re: Trademark dispute of Johnston and Sons. Complaint has been lodged in Borders, Wisconsin court. Opposition's attorney Vinnie can be reached at 0560-76066548. For settlement details, connect with our in-house attorney at Garett64@yahoo.com.","Re: Trademark dispute of [ORGANIZATION_1]. Complaint has been lodged in [COUNTY_1], [STATE_1] court. Opposition's attorney [FIRSTNAME_1] can be reached at [PHONENUMBER_1]. For settlement details, connect with our in-house attorney at [EMAIL_1].",COMPANYNAME -> ORGANIZATION
"Dear Nikki, based on your account number 29407041, we have dispatched the medication for you. For any queries, please feel free to reach us at 02892-245905.","Dear [FIRSTNAME_1], based on your account number [ACCOUNTNUMBER_1], we have dispatched the [MEDICAL_1] for you. For any queries, please feel free to reach us at [PHONENUMBER_1].",masked medication
"Rupert, your request as the Central Quality Strategist has been processed. Softcopy materials will be sent to your Wyman14@yahoo.com. For other queries, call us on +00-194-409.1007","[FIRSTNAME_1], your request as the [JOBTITLE_1] has been processed. Softcopy materials will be sent to your [EMAIL_1]. For other queries, call us on [PHONENUMBER_1]",
"Hello Mrs. Nikolaus, we've found a missing document related to the Zackaryfurt city ordinance against Konopelski - Kutch. Please send it ASAP. Call us at 044 346.2730 for more information.","Hello [PREFIX_1] [LASTNAME_1], we've found a missing document related to the [CITY_1] city ordinance against [ORGANIZATION_1]. Please send it ASAP. Call us at [PHONENUMBER_1] for more information.",COMPANYNAME -> ORGANIZATION
