,unmasked_text,masked_text
200,"Hello Mr. Juston Keebler, This is to remind you of your set cognitive therapy appointment at unit 29164 of Cleveland Street, University on 12/85. Any wish to reschedule, drop us a mail Christ_Harber@gmail.com or ring (239)-4757904. You're charged $0.00b.","Hello [PREFIX_1] [FIRSTNAME_1] [LASTNAME_1], This is to remind you of your set [MEDICAL_1] at unit [BUILDINGNUMBER_1] of [STREET_1], [CITY_1] on [DATE_1]. Any wish to reschedule, drop us a mail [EMAIL_1] or ring [PHONENUMBER_1]. You're charged $[AMOUNT_1]."
201,"Dear Principal Interactions Executive, we've partnered with an NGO for a health camp next month. We'd love if you could coordinate the event. Reach out via Gussie_Champlin62@gmail.com or (974)-0416019 for more details.","Dear [JOBTITLE_1], we've partnered with an NGO for a [ORGANIZATION_1] next month. We'd love if you could coordinate the event. Reach out via [EMAIL_1] or [PHONENUMBER_1] for more details."
202,"Esteemed Judge Schuppe, I write seeking your valuable opinion on the constitutionality of certain laws in Douglas County. A call on (89)-7737 9842 at your earliest convenience would be appreciated.","Esteemed [JOBTITLE_1] [LASTNAME_1], I write seeking your valuable opinion on the constitutionality of certain laws in [COUNTY_1]. A call on [PHONENUMBER_1] at your earliest convenience would be appreciated."
203,Parent Volunteers required for craft supplies preparation for Teacher’s Appreciation Day. If you live in 91724-4349 are you available to help? Ring us at +77.586.114-4758.,Parent Volunteers required for craft supplies preparation for [ORGANIZATION_1]. If you live in [ZIPCODE_1] are you available to help? Ring us at [PHONENUMBER_1].
204,"In our upcoming ethics committee meeting, we need to discuss methods of protecting databases that collects personal patient data like 756.6471.8923, 85-022597-998145-7, 016-3146550. Darren McKenzie-Walker, can you spearhead this topic?","In our upcoming ethics committee meeting, we need to discuss methods of protecting databases that collects personal patient data like [SSN_1], [PHONEIMEI_1], [PHONENUMBER_1]. [FIRSTNAME_1] [LASTNAME_1], can you spearhead this topic?"
205,Looking for mindfulness-based therapy? Please contact Matilde Williamson-Hettinger on 1779-744 3205.,Looking for [MEDICAL_1]? Please contact [FIRSTNAME_1] [LASTNAME_1] on [PHONENUMBER_1].
206,"Hello Kathleen, wanted to bring to your attention that your scheduled therapy session is due on 10th September. To confirm or reschedule, contact us at Crystel.Stiedemann@hotmail.com or +668 346.700-7631. You can also follow us on Instagram @crystel_stiedemann."," Hello [FIRSTNAME_1], wanted to bring to your attention that your [MEDICAL_1] is due on [DATE_1]. To confirm or reschedule, contact us at [EMAIL_1] or [PHONENUMBER_1]. You can also follow us on Instagram [USERNAME_1]. "
207,"Dear Lottie Little, Just a simple reminder about our upcoming Parent-Teacher meeting. Kindly make sure that you attend the meeting. Here's our location: 50958 Collins Ridge, Port Cordieborough, Nidwalden. For more information, call 02626-964138 to talk with Jamaal","Dear [FIRSTNAME_1] [LASTNAME_1], Just a simple reminder about our upcoming [ORGANIZATION_1]. Kindly make sure that you attend the meeting. Here's our location: [BUILDINGNUMBER_1] [STREET_1], [CITY_1], [STATE_1]. For more information, call [PHONENUMBER_1] to talk with [FIRSTNAME_1]."
208,The conference venue for the oncology seminar is Tamara Throughway 35291 with Ima as speaker. Due to limited seating RSVP to Daren.Borer@hotmail.com or 04818-41480.,The conference venue for the [MEDICAL_1] seminar is [STREET_1] [BUILDINGNUMBER_1] with [FIRSTNAME_1] as speaker. Due to limited seating RSVP to [EMAIL_1] or [PHONENUMBER_1].
209,"Clay, a Legacy Program Analyst in the Metrics. I'd like to make an appointment for a dental consultation. Could you please call me at (777) 0908386 or email at Bernadette79@gmail.com? You can also reach me via my Facebook, clay_basketball_legacy.","[FIRSTNAME_1], a [JOBTITLE_1] in the [JOBAREA_1]. I'd like to make an appointment for a [MEDICAL_1]. Could you please call me at [PHONENUMBER_1] or email at [EMAIL_1]? You can also reach me via my Facebook, [USERNAME_1]."
