Unnamed: 0,unmasked_text,masked_text,privacy_mask,bio_labels
200,"Hello Mr. Juston Keebler, This is to remind you of your set cognitive therapy appointment at unit 29164 of Cleveland Street, University on 12/85. Any wish to reschedule, drop us a mail Christ_Harber@gmail.com or ring (239)-4757904. You're charged $0.00b.","Hello [PREFIX_1] [FIRSTNAME_1] [LASTNAME_1], This is to remind you of your set [MEDICAL_1] at unit [BUILDINGNUMBER_1] of [STREET_1], [CITY_1] on [DATE_1]. Any wish to reschedule, drop us a mail [EMAIL_1] or ring [PHONENUMBER_1]. You're charged $[AMOUNT_1].","{'[PREFIX_1]': 'Mr.', '[FIRSTNAME_1]': 'Juston', '[LASTNAME_1]': 'Keebler', '[MEDICAL_1]': 'cognitive therapy appointment', '[BUILDINGNUMBER_1]': '29164', '[STREET_1]': 'Cleveland Street', '[CITY_1]': 'University', '[DATE_1]': '12/85', '[EMAIL_1]': 'Christ_Harber@gmail.com', '[PHONENUMBER_1]': '(239)-4757904', '[AMOUNT_1]': '0'}","['O', 'B-PREFIX_1', 'B-FIRSTNAME_1', 'B-LASTNAME_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MEDICAL_1', 'I-MEDICAL_1', 'I-MEDICAL_1', 'O', 'O', 'B-BUILDINGNUMBER_1', 'O', 'B-STREET_1', 'I-STREET_1', 'B-CITY_1', 'O', 'B-DATE_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EMAIL_1', 'O', 'O', 'B-PHONENUMBER_1', 'O', 'O', 'B-AMOUNT_1']"
201,"Dear Principal Interactions Executive, we've partnered with an NGO for a health camp next month. We'd love if you could coordinate the event. Reach out via Gussie_Champlin62@gmail.com or (974)-0416019 for more details.","Dear [JOBTITLE_1], we've partnered with an NGO for a [ORGANIZATION_1] next month. We'd love if you could coordinate the event. Reach out via [EMAIL_1] or [PHONENUMBER_1] for more details.","{'[JOBTITLE_1]': 'Principal Interactions Executive', '[ORGANIZATION_1]': 'health camp', '[EMAIL_1]': 'Gussie_Champlin62@gmail.com', '[PHONENUMBER_1]': '(974)-0416019'}","['O', 'B-JOBTITLE_1', 'I-JOBTITLE_1', 'I-JOBTITLE_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZATION_1', 'I-ORGANIZATION_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EMAIL_1', 'O', 'B-PHONENUMBER_1', 'O', 'O', 'O']"
202,"Esteemed Judge Schuppe, I write seeking your valuable opinion on the constitutionality of certain laws in Douglas County. A call on (89)-7737 9842 at your earliest convenience would be appreciated.","Esteemed [JOBTITLE_1] [LASTNAME_1], I write seeking your valuable opinion on the constitutionality of certain laws in [COUNTY_1]. A call on [PHONENUMBER_1] at your earliest convenience would be appreciated.","{'[JOBTITLE_1]': 'Judge', '[LASTNAME_1]': 'Schuppe', '[COUNTY_1]': 'Douglas County', '[PHONENUMBER_1]': '(89)-7737 9842'}","['O', 'B-JOBTITLE_1', 'B-LASTNAME_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COUNTY_1', 'I-COUNTY_1', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'I-PHONENUMBER_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
203,Parent Volunteers required for craft supplies preparation for Teacher’s Appreciation Day. If you live in 91724-4349 are you available to help? Ring us at +77.586.114-4758.,Parent Volunteers required for craft supplies preparation for [ORGANIZATION_1]. If you live in [ZIPCODE_1] are you available to help? Ring us at [PHONENUMBER_1].,"{'[ORGANIZATION_1]': 'Teacher’s Appreciation Day', '[ZIPCODE_1]': '91724-4349', '[PHONENUMBER_1]': '+77'}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZATION_1', 'I-ORGANIZATION_1', 'I-ORGANIZATION_1', 'O', 'O', 'O', 'O', 'B-ZIPCODE_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1']"
204,"In our upcoming ethics committee meeting, we need to discuss methods of protecting databases that collects personal patient data like 756.6471.8923, 85-022597-998145-7, 016-3146550. Darren McKenzie-Walker, can you spearhead this topic?","In our upcoming ethics committee meeting, we need to discuss methods of protecting databases that collects personal patient data like [SSN_1], [PHONEIMEI_1], [PHONENUMBER_1]. [FIRSTNAME_1] [LASTNAME_1], can you spearhead this topic?","{'[SSN_1]': '756.6471.8923', '[PHONEIMEI_1]': '85-022597-998145-7', '[PHONENUMBER_1]': '016-3146550', '[FIRSTNAME_1]': 'Darren', '[LASTNAME_1]': 'McKenzie-Walker'}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SSN_1', 'B-PHONEIMEI_1', 'B-PHONENUMBER_1', 'B-FIRSTNAME_1', 'B-LASTNAME_1', 'O', 'O', 'O', 'O', 'O']"
205,Looking for mindfulness-based therapy? Please contact Matilde Williamson-Hettinger on 1779-744 3205.,Looking for [MEDICAL_1]? Please contact [FIRSTNAME_1] [LASTNAME_1] on [PHONENUMBER_1].,"{'[MEDICAL_1]': 'mindfulness-based therapy', '[FIRSTNAME_1]': 'Matilde', '[LASTNAME_1]': 'Williamson-Hettinger', '[PHONENUMBER_1]': '1779-744 3205'}","['O', 'O', 'B-MEDICAL_1', 'I-MEDICAL_1', 'O', 'O', 'B-FIRSTNAME_1', 'B-LASTNAME_1', 'O', 'B-PHONENUMBER_1', 'I-PHONENUMBER_1']"
208,The conference venue for the oncology seminar is Tamara Throughway 35291 with Ima as speaker. Due to limited seating RSVP to Daren.Borer@hotmail.com or 04818-41480.,The conference venue for the [MEDICAL_1] seminar is [STREET_1] [BUILDINGNUMBER_1] with [FIRSTNAME_1] as speaker. Due to limited seating RSVP to [EMAIL_1] or [PHONENUMBER_1].,"{'[MEDICAL_1]': 'oncology', '[STREET_1]': 'Tamara', '[BUILDINGNUMBER_1]': 'Throughway 35291', '[FIRSTNAME_1]': 'Ima', '[EMAIL_1]': 'Daren.Borer@hotmail.com', '[PHONENUMBER_1]': '04818-41480'}","['O', 'O', 'O', 'O', 'O', 'B-MEDICAL_1', 'O', 'O', 'B-STREET_1', 'B-BUILDINGNUMBER_1', 'I-BUILDINGNUMBER_1', 'O', 'B-FIRSTNAME_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EMAIL_1', 'O', 'B-PHONENUMBER_1']"
209,"Clay, a Legacy Program Analyst in the Metrics. I'd like to make an appointment for a dental consultation. Could you please call me at (777) 0908386 or email at Bernadette79@gmail.com? You can also reach me via my Facebook, clay_basketball_legacy.","[FIRSTNAME_1], a [JOBTITLE_1] in the [JOBAREA_1]. I'd like to make an appointment for a [MEDICAL_1]. Could you please call me at [PHONENUMBER_1] or email at [EMAIL_1]? You can also reach me via my Facebook, [USERNAME_1].","{'[FIRSTNAME_1]': 'Clay', '[JOBTITLE_1]': 'Legacy Program Analyst', '[JOBAREA_1]': 'Metrics', '[MEDICAL_1]': 'dental consultation', '[PHONENUMBER_1]': '(777) 0908386', '[EMAIL_1]': 'Bernadette79@gmail.com', '[USERNAME_1]': 'clay_basketball_legacy'}","['B-FIRSTNAME_1', 'O', 'B-JOBTITLE_1', 'I-JOBTITLE_1', 'I-JOBTITLE_1', 'O', 'O', 'B-JOBAREA_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MEDICAL_1', 'I-MEDICAL_1', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'I-PHONENUMBER_1', 'O', 'O', 'O', 'B-EMAIL_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-USERNAME_1']"
210,The schedule for the next Direct Web Manager corporate training is now available. Confirm your participation at 059.094.6968.,The schedule for the next [JOBTITLE_1] corporate training is now available. Confirm your participation at [PHONENUMBER_1].,"{'[JOBTITLE_1]': 'Direct Web Manager', '[PHONENUMBER_1]': '059'}","['O', 'O', 'O', 'O', 'O', 'B-JOBTITLE_1', 'I-JOBTITLE_1', 'I-JOBTITLE_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1']"
211,"Dear Parent, for any concerns regarding your child's performance in the Mobility exams, contact our helpline at (824)-0449875 or drop by our office located at 54014-8602 Apt. 701, 42433.","Dear Parent, for any concerns regarding your child's performance in the [JOBAREA_1] exams, contact our helpline at [PHONENUMBER_1] or drop by our office located at [ZIPCODE_1] [SECONDARYADDRESS_1], [BUILDINGNUMBER_1].","{'[JOBAREA_1]': 'Mobility', '[PHONENUMBER_1]': '(824)-0449875', '[ZIPCODE_1]': '54014-8602', '[SECONDARYADDRESS_1]': 'Apt. 701', '[BUILDINGNUMBER_1]': '42433'}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-JOBAREA_1', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ZIPCODE_1', 'B-SECONDARYADDRESS_1', 'I-SECONDARYADDRESS_1', 'B-BUILDINGNUMBER_1']"
