unmasked_text,masked_text,privacy_mask
"Rosemary.King27, do you think your experience as a Solutions specialist would contribute to our work in psycho-oncology? We're reachable at https://evergreen-hug.info and 099 337-6244.","[USERNAME_1], do you think your experience as a [JOBAREA_1] specialist would contribute to our work in [MEDICAL_1]? We're reachable at [URL_1] and [PHONENUMBER_1].","{'[USERNAME_1]': 'Rosemary.King27', '[JOBAREA_1]': 'Solutions', '[MEDICAL_1]': 'psycho-oncology', '[URL_1]': 'https://evergreen-hug.info', '[PHONENUMBER_1]': '099 337-6244'}"
"Hello, as Direct Security Assistant in Saxony, you are invited to attend a workshop on Transformational Leadership in Education, scheduled to take place at the main Conference Hall at Apt. 318. Please confirm attendance to 046.1458029.","Hello, as [JOBTITLE_1] in [STATE_1], you are invited to attend a [ORGANIZATION_1], scheduled to take place at the main Conference Hall at [BUILDINGNUMBER_1]. Please confirm attendance to [PHONENUMBER_1].","{'[JOBTITLE_1]': 'Direct Security Assistant', '[STATE_1]': 'Saxony', '[ORGANIZATION_1]': 'workshop on Transformational Leadership in Education', '[BUILDINGNUMBER_1]': 'Apt. 318', '[PHONENUMBER_1]': '046.1458029'}"
"Safety incident reported on Funk Expressway at 12:35, please redirect all communications to 02348 32889. Personal Loan Account has been alerted.","Safety incident reported on [STREET_1] at [TIME_1], please redirect all communications to [PHONENUMBER_1]. [ACCOUNTNAME_1] has been alerted.","{'[STREET_1]': 'Funk Expressway', '[TIME_1]': '12:35', '[PHONENUMBER_1]': '02348 32889', '[ACCOUNTNAME_1]': 'Personal Loan Account'}"
We offer telemedicine to 24408-7904 residents. Contact us on (840).7826633 for more information.,We offer telemedicine to [ZIPCODE_1] residents. Contact us on [PHONENUMBER_1] for more information.,"{'[ZIPCODE_1]': '24408-7904', '[PHONENUMBER_1]': '(840).7826633'}"
"Dermatology Clinic Confirmation: Name - Austin, Date - 1953-03-07T06:11:38.984Z, Time - 10:00 AM. If you need help, reach us on 08112.980430.","[ORGANIZATION_1] Confirmation: Name - [FIRSTNAME_1], Date - [DATE_1], Time - 10:00 AM. If you need help, reach us on [PHONENUMBER_1].","{'[ORGANIZATION_1]': 'Dermatology Clinic', '[FIRSTNAME_1]': 'Austin', '[DATE_1]': '1953-03-07T06:11:38.984Z', '[PHONENUMBER_1]': '08112.980430'}"
We are conducting a study in Accounts to understand the nutritional intake of school children. For further information please contact the Consultant of our team on this mobile number (12).2475 9317.,We are conducting a study in [JOBAREA_1] to understand the nutritional intake of school children. For further information please contact the [JOBTITLE_1] of our team on this mobile number [PHONENUMBER_1].,"{'[JOBAREA_1]': 'Accounts', '[JOBTITLE_1]': 'Consultant', '[PHONENUMBER_1]': '(12).2475 9317'}"
"Dear Adolf, we have recently upgraded our diagnostic software which detected a login from an unfamiliar IP: 97.52.3.104. If unfamiliar, contact us at +130-962.105-8079.","Dear [FIRSTNAME_1], we have recently upgraded our diagnostic software which detected a login from an unfamiliar IP: [IPV4_1]. If unfamiliar, contact us at [PHONENUMBER_1].","{'[FIRSTNAME_1]': 'Adolf', '[IPV4_1]': '97.52.3.104', '[PHONENUMBER_1]': '+130-962.105-8079'}"
"Dr. Nelda, your advice on Anastacioville market landscape can be pivotal. Call us on (54).9364-3209 or +43-907.845.7016.","[PREFIX_1] [LASTNAME_1], your advice on [CITY_1] market landscape can be pivotal. Call us on [PHONENUMBER_1] or [PHONENUMBER_1].","{'[PREFIX_1]': 'Dr.', '[LASTNAME_1]': 'Nelda', '[CITY_1]': 'Anastacioville', '[PHONENUMBER_1]': '(54).9364-3209', [PHONENUMBER_1]': '+43-907.845.7016'}"
"Our annual visit to the Abruzzo museum is just around the corner. Get your child ready to learn about history and art! For any doubts or queries, you can contact us on the following number: 016-5409.4590.","Our annual visit to the [STATE_1] museum is just around the corner. Get your child ready to learn about history and art! For any doubts or queries, you can contact us on the following number: [PHONENUMBER_1].","{'[STATE_1]': 'Abruzzo', '[PHONENUMBER_1]': '016-5409.4590'}"
"Literacy program starts on 23/03/1935. Event details sent to your email, Brionna_Kirlin77@gmail.com. For queries, contact 02-75.74-09-41.","[ORGANIZATION_1] starts on [DATE_1]. Event details sent to your email, [EMAIL_1]. For queries, contact [PHONENUMBER_1].","{'[ORGANIZATION_1]': 'Literacy program', '[DATE_1]': '23/03/1935', '[EMAIL_1]': 'Brionna_Kirlin77@gmail.com', '[PHONENUMBER_1]': '02-75.74-09-41'}"
"Re: Trademark dispute of Johnston and Sons. Complaint has been lodged in Borders, Wisconsin court. Opposition's attorney Vinnie can be reached at 0560-76066548. For settlement details, connect with our in-house attorney at Garett64@yahoo.com.","Re: Trademark dispute of [COMPANYNAME_1]. Complaint has been lodged in [COUNTY_1], [STATE_1] court. Opposition's attorney [FIRSTNAME_1] can be reached at [PHONENUMBER_1]. For settlement details, connect with our in-house attorney at [EMAIL_1].","{'[COMPANYNAME_1]': 'Johnston and Sons', '[COUNTY_1]': 'Borders', '[STATE_1]': 'Wisconsin', '[FIRSTNAME_1]': 'Vinnie', '[PHONENUMBER_1]': '0560-76066548', '[EMAIL_1]': 'Garett64@yahoo.com'}"
"Dear Nikki, based on your account number 29407041, we have dispatched the medication for you. For any queries, please feel free to reach us at 02892-245905.","Dear [FIRSTNAME_1], based on your account number [ACCOUNTNUMBER_1], we have dispatched the [MEDICAL_1] for you. For any queries, please feel free to reach us at [PHONENUMBER_1].","{'[FIRSTNAME_1]': 'Nikki', '[ACCOUNTNUMBER_1]': '29407041', '[MEDICAL_1]': 'medication', '[PHONENUMBER_1]': '02892-245905'}"
"Rupert, your request as the Central Quality Strategist has been processed. Softcopy materials will be sent to your Wyman14@yahoo.com. For other queries, call us on +00-194-409.1007","[FIRSTNAME_1], your request as the [JOBTITLE_1] has been processed. Softcopy materials will be sent to your [EMAIL_1]. For other queries, call us on [PHONENUMBER_1]","{'[FIRSTNAME_1]': 'Rupert', '[JOBTITLE_1]': 'Central Quality Strategist', '[EMAIL_1]': 'Wyman14@yahoo.com', '[PHONENUMBER_1]': '+00-194-409.1007'}"
"Hello Mrs. Nikolaus, we've found a missing document related to the Zackaryfurt city ordinance against Konopelski - Kutch. Please send it ASAP. Call us at 044 346.2730 for more information.","Hello [PREFIX_1] [LASTNAME_1], we've found a missing document related to the [CITY_1] city ordinance against [COMPANYNAME_1]. Please send it ASAP. Call us at [PHONENUMBER_1] for more information.","{'[PREFIX_1]': '', '[LASTNAME_1]': 'Mrs. Nikolaus', '[CITY_1]': 'Zackaryfurt', '[COMPANYNAME_1]': 'Konopelski - Kutch', '[PHONENUMBER_1]': '044 346.2730'}"
"Just a quick memo that the change management training for Infrastructure department will be on August 25, 1933 at 13. Contact Amelie on 9544 384 3751 or Riley_Klocko@yahoo.com for any concerns.",Just a quick memo that the change management training for [JOBAREA_1] department will be on [DATE_1] at [TIME_1]. Contact [FIRSTNAME_1] on [PHONENUMBER_1] or [EMAIL_1] for any concerns.,"{'[JOBAREA_1]': 'Infrastructure', '[DATE_1]': 'August 25, 1933', '[TIME_1]': '13', '[FIRSTNAME_1]': 'Amelie', '[PHONENUMBER_1]': '9544 384 3751', '[EMAIL_1]': 'Riley_Klocko@yahoo.com'}"
"Concepcion Kovacek has a scheduled oncology appointment. Make sure that her contact information (89-578048-125375-0, 1156 401 8454) is well noted.","[FIRSTNAME_1] [LASTNAME_1] has a scheduled [MEDICAL_1] appointment. Make sure that her contact information ([PHONEIMEI_1], [PHONENUMBER_1]) is well noted.","{'[FIRSTNAME_1]': '', '[LASTNAME_1]': 'Concepcion Kovacek', '[MEDICAL_1]': 'oncology', '[PHONEIMEI_1]': '89-578048-125375-0', '[PHONENUMBER_1]': '1156 401 8454'}"
"1. Request for legal aid regarding Civil Rights violation. Anya Kennedy Quigley, Female living in Monroe County, New York born 1913-08-17T09:30:46.616Z. Contact on 010 6502-9794 or Sierra_White66@hotmail.com. Legal docs can be sent to Casper Loaf 36782, Suite 328, 84832-9164.","1. Request for legal aid regarding Civil Rights violation. [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1], [SEX_1] living in [COUNTY_1], [STATE_1] born [DOB_1]. Contact on [PHONENUMBER_1] or [EMAIL_1]. Legal docs can be sent to [STREET_1] [BUILDINGNUMBER_1], [BUILDINGNUMBER_1], [ZIPCODE_1].","{'[FIRSTNAME_1]': '', '[MIDDLENAME_1]': '', '[LASTNAME_1]': '', '[SEX_1]': 'Anya Kennedy Quigley, Female', '[COUNTY_1]': '', '[STATE_1]': 'Monroe County, New York', '[DOB_1]': '1913-08-17T09:30:46.616Z', '[PHONENUMBER_1]': '010 6502-9794', '[EMAIL_1]': 'Sierra_White66@hotmail.com', '[STREET_1]': 'Casper Loaf 36782', '[BUILDINGNUMBER_1]': 'Suite 328', '[ZIPCODE_1]': '84832-9164'}"
"I am Alanis Reese, principal of the school. Feel free to contact me anytime at +02-866 679.1057 or Haylie_Lakin81@gmail.com. Keeping open channels of communication will benefit us all, especially our students.","I am [FIRSTNAME_1] [MIDDLENAME_1], [JOBTITLE_1] of the school. Feel free to contact me anytime at [PHONENUMBER_1] or [EMAIL_1]. Keeping open channels of communication will benefit us all, especially our students.","{'[FIRSTNAME_1]': 'Alanis', '[MIDDLENAME_1]': 'Reese', '[JOBTITLE_1]': 'principal', '[PHONENUMBER_1]': '+02-866 679.1057', '[EMAIL_1]': 'Haylie_Lakin81@gmail.com'}"
"Hello Ms. Wolf, Hope you are doing great. We could use your expert input in organizing new extracurricular activities. If you are interested, do call us at (485)-5021789.","Hello [PREFIX_1] [LASTNAME_1], Hope you are doing great. We could use your expert input in organizing new extracurricular activities. If you are interested, do call us at [PHONENUMBER_1].","{'[PREFIX_1]': 'Ms', '[LASTNAME_1]': 'Wolf', '[PHONENUMBER_1]': '(485)-5021789'}"
