,unmasked_text,masked_text,phone_number,target
0,"Mr. Franecki, we have scheduled a learning assessment for your child this week. To reconfirm this booking, call (612).3785804. Your continued support in your child's learning journey is appreciated.","[PREFIX_1] [LASTNAME_1], we have scheduled a learning assessment for your child this week. To reconfirm this booking, call [PHONENUMBER_1]. Your continued support in your child's learning journey is appreciated.",(612).3785804,O
1,"The palliative care team is coordinating a home visit for Lee in 76448, Marche next week. For further details, please contact the team at 09.48-67 61 36.","The palliative care team is coordinating a home visit for [FIRSTNAME_1] in [ZIPCODE_1], [STATE_1] next week. For further details, please contact the team at [PHONENUMBER_1].",09.48-67 61 36,O
2,"We've updated your next appointment, Tavares. See you on 22/05/1920 at 1112 Poplar Road, Katrinachester. Contact us at +19-302 725.8274 for any inquiries.","We've updated your next appointment, [FIRSTNAME_1]. See you on [DATE_1] at [BUILDINGNUMBER_1] [STREET_1], [CITY_1]. Contact us at [PHONENUMBER_1] for any inquiries.",+19-302 725.8274,TEL
3,Lawrence County Sports department is conducting a psych assessment for athletes aged between 18/11/1937 to 1/19 as a part of their training assessment regime. We require a sports psychologist for the task. Contact us at +97-259 289.7050.,[COUNTY_1] Sports department is conducting a psych assessment for athletes aged between [DOB_1] to [DOB_2] as a part of their training assessment regime. We require a sports psychologist for the task. Contact us at [PHONENUMBER_1].,+97-259 289.7050,TEL
4,"Dear Ivory, Your appointment with Dr. Frami regarding your endocrine disorder is scheduled for 02/12/1907 at 11 o'clock. Please call us at (842)-6372460 if you have any questions.","Dear [FIRSTNAME_1], Your appointment with Dr. [LASTNAME_1] regarding your endocrine disorder is scheduled for [DATE_1] at [TIME_1]. Please call us at [PHONENUMBER_1] if you have any questions.",(842)-6372460,O
5,"Hi Gerardo, here's your confirmation for your upcoming Cognitive Therapy session at our Sporerstead location on 15th February at 1:02 PM . Please contact us at (017)-0128665 or Cortney.Hilpert@hotmail.com for any inquiries.","Hi [FIRSTNAME_1], here's your confirmation for your upcoming Cognitive Therapy session at our [CITY_1] location on [DATE_1] at [TIME_1] . Please contact us at [PHONENUMBER_1] or [EMAIL_1] for any inquiries.",(017)-0128665,O
6,"For property laws concerning Charley Graham at Princes Street, Sadiehaven - please call at 1066-121.1337.","For property laws concerning [FIRSTNAME_1] [LASTNAME_1] at [STREET_1], [CITY_1] - please call at [PHONENUMBER_1].",1066-121.1337,TEL
7,"Dear Mr. Hildegard Marlowe Borer, 
I trust this finds you in good health. I'm Leif Koch, an Central Mobility Manager at Pacocha and Sons. I noticed your interest in animal-assisted therapy and wish to share more insights on this. Our centre at Warner Robins, Vermont has been successfully implementing animal-assisted therapy for clients of 44 years years to help them overcome various stresses and disorders.
The therapy involves a certified therapy animal, primarily trained dogs. We do provide other therapy animal options such as horses and cats. The therapy is performed in a controlled environment under the supervision of our skilled Direct Integration Designer. These therapy sessions provide a soothing and compassionate foundation for clients to express themselves and enjoy the cuddles from a therapy animal.
One of our therapists will be visiting Apt. 453, 5617 Daisha Mountain in Port Manuela, County Down, 06551 on 20/09/1953 at 21:33. This visit will help you understand more about the therapy's benefits and provide hands-on experience with our therapy animals.
Given that Katelynn Weimann has been a Planner for some time, a profession substantially increased stress, our therapy might be extremely beneficial for you. The benefits of these therapies are innumerable, from decreasing cortisol levels to increasing communication, therapy animals can bring substantial emotional, cognitive and social benefits.
In case the 17/11/1960 doesn't suit you or more information is needed, feel free to reach out to me at your convenience. To confirm participation in the session, kindly contact me at my +717-584.257-0232 or shoot an email to Alphonso25@hotmail.com. I look forward to your participation in the therapy sessions and guarantee a calming and therapeutic experience.
Best Regards, 
Judd Weimann
Direct Division Assistant
Oberbrunner - Effertz
085 0388891
Marisa_Schaden73@yahoo.com
https://gaseous-smile.biz/","Dear [PREFIX_1] [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1], 
I trust this finds you in good health. I'm [FIRSTNAME_2] [LASTNAME_2], an [JOBTITLE_1] at [COMPANYNAME_1]. I noticed your interest in animal-assisted therapy and wish to share more insights on this. Our centre at [CITY_1], [STATE_1] has been successfully implementing animal-assisted therapy for clients of [AGE_1] years to help them overcome various stresses and disorders.
The therapy involves a certified therapy animal, primarily trained dogs. We do provide other therapy animal options such as horses and cats. The therapy is performed in a controlled environment under the supervision of our skilled [JOBTITLE_2]. These therapy sessions provide a soothing and compassionate foundation for clients to express themselves and enjoy the cuddles from a therapy animal.
One of our therapists will be visiting [SECONDARYADDRESS_1], [BUILDINGNUMBER_1] [STREET_1] in [CITY_2], [COUNTY_1], [ZIPCODE_1] on [DATE_1] at [TIME_1]. This visit will help you understand more about the therapy's benefits and provide hands-on experience with our therapy animals.
Given that [FIRSTNAME_3] [LASTNAME_3] has been a [JOBTYPE_1] for some time, a profession substantially increased stress, our therapy might be extremely beneficial for you. The benefits of these therapies are innumerable, from decreasing cortisol levels to increasing communication, therapy animals can bring substantial emotional, cognitive and social benefits.
In case the [DATE_2] doesn't suit you or more information is needed, feel free to reach out to me at your convenience. To confirm participation in the session, kindly contact me at my [PHONENUMBER_1] or shoot an email to [EMAIL_1]. I look forward to your participation in the therapy sessions and guarantee a calming and therapeutic experience.
Best Regards, 
[FIRSTNAME_4] [LASTNAME_4]
[JOBTITLE_3]
[COMPANYNAME_2]
[PHONENUMBER_2]
[EMAIL_2]
[URL_1]",+717-584.257-0232,O
8,"Hello Kenny, A follow-up psycho-oncology assessment is scheduled for you on 7th July. Your assistance with research is beneficial. Please confirm your availability by logging in at https://fluid-supervision.org or, call 04056 81940.","Hello [FIRSTNAME_1], A follow-up psycho-oncology assessment is scheduled for you on [DATE_1]. Your assistance with research is beneficial. Please confirm your availability by logging in at [URL_1] or, call [PHONENUMBER_1].",04056 81940,TEL
9,"Ms.'s appointment at [61.857,-105.1437] on March 6, 1970 was not authorized, please contact us at 023 4733393.","[PREFIX_1]'s appointment at [NEARBYGPSCOORDINATE_1] on [DOB_1] was not authorized, please contact us at [PHONENUMBER_1].",023 4733393,TEL
